time,P-109523,P-118383
2018-09-01 00:00:00,4348.0,1853.0
2018-09-01 00:05:00,4165.0,1808.0
2018-09-01 00:10:00,4248.0,1839.0
2018-09-01 00:15:00,4130.0,1838.0
2018-09-01 00:20:00,4118.0,1822.0
2018-09-01 00:25:00,4029.0,1837.0
2018-09-01 00:30:00,3977.0,1814.0
2018-09-01 00:35:00,3951.0,1776.0
2018-09-01 00:40:00,3957.0,1807.0
2018-09-01 00:45:00,3885.0,1760.0
2018-09-01 00:50:00,3731.0,1766.0
2018-09-01 00:55:00,3691.0,1765.0
2018-09-01 01:00:00,3790.0,1733.0
2018-09-01 01:05:00,3657.0,1727.0
2018-09-01 01:10:00,3703.0,1720.0
2018-09-01 01:15:00,3630.0,1713.0
2018-09-01 01:20:00,3620.0,1735.0
2018-09-01 01:25:00,3510.0,1689.0
2018-09-01 01:30:00,3365.0,1552.0
2018-09-01 01:35:00,3270.0,1548.0
2018-09-01 01:40:00,3298.0,1540.0
2018-09-01 01:45:00,3218.0,1564.0
2018-09-01 01:50:00,3141.0,1505.0
2018-09-01 01:55:00,3154.0,1547.0
2018-09-01 02:00:00,3157.0,1531.0
2018-09-01 02:05:00,3138.0,1530.0
2018-09-01 02:10:00,3151.0,1561.0
2018-09-01 02:15:00,3160.0,1566.0
2018-09-01 02:20:00,3155.0,1522.0
2018-09-01 02:25:00,3159.0,1528.0
2018-09-01 02:30:00,3041.0,1498.0
2018-09-01 02:35:00,3051.0,1491.0
2018-09-01 02:40:00,3039.0,1514.0
2018-09-01 02:45:00,3207.0,1516.0
2018-09-01 02:50:00,3131.0,1516.0
2018-09-01 02:55:00,2909.0,1413.0
2018-09-01 03:00:00,2756.0,1350.0
2018-09-01 03:05:00,2884.0,1367.0
2018-09-01 03:10:00,2865.0,1347.0
2018-09-01 03:15:00,2906.0,1375.0
2018-09-01 03:20:00,2768.0,1350.0
2018-09-01 03:25:00,2893.0,1363.0
2018-09-01 03:30:00,2850.0,1369.0
2018-09-01 03:35:00,2798.0,1348.0
2018-09-01 03:40:00,2861.0,1400.0
2018-09-01 03:45:00,2907.0,1383.0
2018-09-01 03:50:00,2769.0,1369.0
2018-09-01 03:55:00,2748.0,1354.0
2018-09-01 04:00:00,2804.0,1360.0
2018-09-01 04:05:00,2932.0,1400.0
2018-09-01 04:10:00,2920.0,1396.0
2018-09-01 04:15:00,3004.0,1410.0
2018-09-01 04:20:00,3065.0,1438.0
2018-09-01 04:25:00,3088.0,1433.0
2018-09-01 04:30:00,3080.0,1457.0
2018-09-01 04:35:00,3211.0,1498.0
2018-09-01 04:40:00,3225.0,1541.0
2018-09-01 04:45:00,3227.0,1514.0
2018-09-01 04:50:00,3278.0,1556.0
2018-09-01 04:55:00,3364.0,1579.0
2018-09-01 05:00:00,3333.0,1543.0
2018-09-01 05:05:00,3524.0,1584.0
2018-09-01 05:10:00,3589.0,1648.0
2018-09-01 05:15:00,3694.0,1594.0
2018-09-01 05:20:00,3833.0,1685.0
2018-09-01 05:25:00,3960.0,1685.0
2018-09-01 05:30:00,4180.0,1774.0
2018-09-01 05:35:00,4614.0,1918.0
2018-09-01 05:40:00,4751.0,1949.0
2018-09-01 05:45:00,4797.0,1933.0
2018-09-01 05:50:00,4926.0,1998.0
2018-09-01 05:55:00,5165.0,2047.0
2018-09-01 06:00:00,5256.0,2105.0
2018-09-01 06:05:00,5322.0,2069.0
2018-09-01 06:10:00,5516.0,2133.0
2018-09-01 06:15:00,6043.0,2286.0
2018-09-01 06:20:00,5951.0,2574.0
2018-09-01 06:25:00,6291.0,2611.0
2018-09-01 06:30:00,6485.0,2628.0
2018-09-01 06:35:00,6525.0,2664.0
2018-09-01 06:40:00,6447.0,2724.0
2018-09-01 06:45:00,6481.0,2688.0
2018-09-01 06:50:00,6166.0,2816.0
2018-09-01 06:55:00,6097.0,2738.0
2018-09-01 07:00:00,5714.0,2697.0
2018-09-01 07:05:00,5628.0,2673.0
2018-09-01 07:10:00,5587.0,2630.0
2018-09-01 07:15:00,5655.0,2688.0
2018-09-01 07:20:00,5573.0,2766.0
2018-09-01 07:25:00,5614.0,2712.0
2018-09-01 07:30:00,5627.0,2678.0
2018-09-01 07:35:00,5640.0,2697.0
2018-09-01 07:40:00,5660.0,2693.0
2018-09-01 07:45:00,5626.0,2696.0
2018-09-01 07:50:00,5635.0,2745.0
2018-09-01 07:55:00,5653.0,2686.0
2018-09-01 08:00:00,5759.0,2681.0
2018-09-01 08:05:00,5730.0,2701.0
2018-09-01 08:10:00,5725.0,2734.0
2018-09-01 08:15:00,5760.0,2703.0
2018-09-01 08:20:00,5676.0,2701.0
2018-09-01 08:25:00,5714.0,2771.0
2018-09-01 08:30:00,5784.0,2729.0
2018-09-01 08:35:00,5666.0,2719.0
2018-09-01 08:40:00,5705.0,2706.0
2018-09-01 08:45:00,5731.0,2735.0
2018-09-01 08:50:00,5659.0,2640.0
2018-09-01 08:55:00,5637.0,2759.0
2018-09-01 09:00:00,5742.0,2669.0
2018-09-01 09:05:00,5713.0,2730.0
2018-09-01 09:10:00,5724.0,2598.0
2018-09-01 09:15:00,5687.0,2676.0
2018-09-01 09:20:00,5680.0,2663.0
2018-09-01 09:25:00,5590.0,2626.0
2018-09-01 09:30:00,5934.0,2647.0
2018-09-01 09:35:00,6027.0,2598.0
2018-09-01 09:40:00,5934.0,2577.0
2018-09-01 09:45:00,5867.0,2565.0
2018-09-01 09:50:00,5841.0,2569.0
2018-09-01 09:55:00,5846.0,2605.0
2018-09-01 10:00:00,5829.0,2560.0
2018-09-01 10:05:00,5833.0,2606.0
2018-09-01 10:10:00,5764.0,2535.0
2018-09-01 10:15:00,5795.0,2621.0
2018-09-01 10:20:00,5806.0,2605.0
2018-09-01 10:25:00,5826.0,2574.0
2018-09-01 10:30:00,6010.0,2602.0
2018-09-01 10:35:00,5963.0,2577.0
2018-09-01 10:40:00,5885.0,2644.0
2018-09-01 10:45:00,5972.0,2582.0
2018-09-01 10:50:00,5986.0,2591.0
2018-09-01 10:55:00,5927.0,2663.0
2018-09-01 11:00:00,5981.0,2594.0
2018-09-01 11:05:00,5963.0,2597.0
2018-09-01 11:10:00,5863.0,2616.0
2018-09-01 11:15:00,5867.0,2589.0
2018-09-01 11:20:00,5800.0,2586.0
2018-09-01 11:25:00,6247.0,2559.0
2018-09-01 11:30:00,6229.0,2569.0
